robot_1/q_std,survival_rate,total_charges_per_episode,robot_0/q_std,mean_final_energy,robot_2/loss,episode_length,_runtime,robot_1/loss,robot_3/q_mean,total_kills_per_episode,total_agent_collisions_per_episode,_step,global_step,std_episode_reward,robot_0/loss,mean_episode_reward,episode,robot_3/loss,robot_3/q_std,_timestamp,robot_2/q_std,robot_0/q_mean,robot_2/q_mean,robot_1/q_mean
,4.0,0.0,,183.0,,500.0,2273.128834958,,,0.0,0.0,285,36363,2.0816099538578334,,171.32999999999998,141.0,,,1763375823.8916538,,,,
,,,,,,,2299.216128333,,16.672306060791016,,,291,37000,,,,,0.03148292377591133,0.7685097455978394,1763375849.979867,,,,
,4.0,0.0,,135.75,,272.0,2307.933673333,,,0.0,0.0,292,37221,9.462972577367045,,87.95000000000009,144.0,,,1763375858.6974669,,,,
,4.0,0.0,,176.75,,500.0,2334.896007708,,,0.0,0.0,293,37721,4.2048030572191,,161.64250000000004,145.0,,,1763375885.659669,,,,
,,,0.7147071361541748,,,,2346.188873917,,,,,294,38000,,0.06084447354078293,,,,,1763375896.953179,,16.981033325195312,,
,4.0,0.0,,146.75,,201.0,2376.427897667,,,0.0,0.0,300,38662,6.638827080140025,,64.47499999999998,148.0,,,1763375927.1925209,,,,
0.5893813967704773,,,,,,,2393.076454292,0.007151647470891476,,,,302,39000,,,,,,,1763375943.841751,,,,17.070919036865234
,,,,,0.7356377243995667,,2393.085277083,,,,,303,39000,,,,,,,1763375943.850589,0.6101912260055542,,18.803050994873047,
,,,,,,,2393.094155042,,17.41983413696289,,,304,39000,,,,,0.042607493698596954,0.3090136647224426,1763375943.85945,,,,
,,,,,0.044926680624485016,,2433.030600333,,,,,311,40000,,,,,,,1763375983.796402,1.4989091157913208,,19.004371643066406,
,4.0,0.0,,123.5,,154.0,2438.403822833,,,0.0,0.0,313,40114,5.667161436733577,,43.772499999999994,153.0,,,1763375989.1656299,,,,
,,,0.6513943076133728,,,,2495.282726417,,,,,316,41000,,0.017780160531401634,,,,,1763376046.0494678,,17.914291381835938,,
0.7228222489356995,,,,,,,2495.292919583,0.015497017651796341,,,,317,41000,,,,,,,1763376046.059658,,,,17.65149688720703
