robot_0/loss,global_step,episode_length,robot_1/q_std,_runtime,robot_3/q_std,robot_2/q_mean,_timestamp,epsilon,robot_0/q_mean,mean_episode_reward,total_kills_per_episode,total_agent_collisions_per_episode,survival_rate,mean_final_energy,episode,std_episode_reward,_step,total_charges_per_episode,robot_3/q_mean,robot_2/loss,robot_0/q_std,robot_1/loss,robot_3/loss,robot_2/q_std,robot_1/q_mean
,2000,,,37.984672173,,-0.12603077292442322,1763425383.599416,,,,,,,,,,595,,,0.0007517586927860975,,,,0.444195419549942,
,2022,13.0,,38.508871862,,,1763425384.1233592,0.2,,4.622499999999999,0.0,0.0,3.0,62.0,592.0,0.7984790228928995,600,39.0,,,,,,,
,2059,37.0,,39.432707788,,,1763425385.0473597,0.2,,13.920000000000002,0.0,1.0,3.0,67.75,593.0,3.2999772726490115,601,111.0,,,,,,,
,2195,3.0,,42.767294825,,,1763425388.3818173,0.2,,0.14500000000000002,0.0,0.0,3.0,61.75,604.0,0.8242724064288456,612,4.0,,,,,,,
,2225,16.0,,43.475548934,,,1763425389.0902667,0.2,,5.880000000000001,0.0,1.0,3.0,72.25,606.0,2.3444935487221965,614,48.0,,,,,,,
,2389,11.0,,47.341890621,,,1763425392.9562519,0.2,,1.9999999999999996,0.0,1.0,3.0,39.25,619.0,1.6230064694880297,627,20.0,,,,,,,
,2432,18.0,,48.369431997,,,1763425393.983804,0.2,,4.36,0.0,1.0,3.0,43.25,622.0,2.3794432121822116,630,38.0,,,,,,,
,2492,27.0,,49.826730577,,,1763425395.4412014,0.2,,9.155000000000001,0.0,3.0,3.0,51.25,627.0,4.888115690120275,635,75.0,,,,,,,
,2505,13.0,,50.131545721,,,1763425395.7461212,0.2,,3.9349999999999996,0.0,0.0,3.0,68.25,628.0,1.1130700786563261,636,33.0,,,,,,,
,2559,6.0,,51.453061503,,,1763425397.0675194,0.2,,1.7149999999999999,0.0,1.0,3.0,65.75,631.0,1.3083290870419415,639,16.0,,,,,,,
,2578,19.0,,51.920346965,,,1763425397.5347352,0.2,,6.1899999999999995,0.0,0.0,3.0,50.25,632.0,1.2038687636117174,640,52.0,,,,,,,
,2598,8.0,,52.416868739,,,1763425398.0312662,0.2,,2.4425,0.0,0.0,3.0,74.0,635.0,1.6481865034030578,643,21.0,,,,,,,
,2655,11.0,,53.749723191,,,1763425399.3641808,0.2,,3.0125,0.0,1.0,3.0,53.0,639.0,1.9321280366476752,647,27.0,,,,,,,
,2706,32.0,,54.960683123,,,1763425400.575139,0.2,,13.130000000000003,0.0,1.0,3.0,68.75,642.0,1.4379673153448242,650,105.0,,,,,,,
,2881,10.0,,59.237321166,,,1763425404.8519049,0.2,,3.629999999999999,0.0,1.0,3.0,65.75,656.0,1.653284609497106,664,31.0,,,,,,,
,2973,6.0,,61.497713847,,,1763425407.112171,0.2,,1.6300000000000001,0.0,0.0,3.0,57.25,663.0,0.5810765870347903,671,16.0,,,,,,,
