robot_3/q_std,_runtime,mean_episode_reward,robot_0/q_std,robot_2/loss,total_kills_per_episode,robot_2/q_std,episode,robot_3/loss,robot_2/q_mean,total_immediate_kills_per_episode,epsilon,_timestamp,episode_length,total_charges_per_episode,std_episode_reward,_step,total_non_home_charges_per_episode,global_step,robot_1/q_std,robot_3/q_mean,robot_1/loss,survival_rate,mean_final_energy,robot_0/loss,robot_0/q_mean,robot_1/q_mean,total_agent_collisions_per_episode
,258.686415837,11.237499999999997,,,0.0,,652.0,,,0.0,0.038075765743545126,1763496070.61911,24.0,91.0,1.0025062343945788,692,0.0,10558,,,,3.0,62.5,,,,0.0
1.940847635269165,269.597616882,,,,,,,0.16923770308494568,,,,1763496081.5308092,,,,698,,11000,,4.909756183624268,,,,,,,
,284.346860508,98.21750000000029,,,0.0,,658.0,,,0.0,0.03694767635022522,1763496096.2793999,202.0,772.0,2.563887429276124,702,0.0,11590,,,,3.0,70.0,,,,1.0
,288.735679779,83.19500000000016,,,0.0,,659.0,,,0.0,0.036762937968474095,1763496100.6684139,171.0,654.0,1.771418922784744,703,0.0,11761,,,,3.0,73.75,,,,0.0
1.2939674854278564,294.816862099,,,,,,,0.009359382092952728,,,,1763496106.7500584,,,,707,,12000,,6.054078578948975,,,,,,,
1.2522579431533813,319.901870368,,,,,,,0.0077027929946780205,,,,1763496131.8350892,,,,721,,13000,,6.530736923217773,,,,,,,
,327.141647477,1.225,,,0.0,,673.0,,,0.0,0.034271518052411715,1763496139.074423,4.0,12.0,1.025390169642756,725,0.0,13284,,,,3.0,68.75,,,,0.0
,345.234312757,,,,,,,,,,,1763496157.1673386,,,,729,,14000,1.133908748626709,,0.013382050208747387,,,,,6.622128486633301,
,345.240829373,,,0.002748059341683984,,1.7838624715805054,,,6.042572975158691,,,1763496157.173679,,,,730,,14000,,,,,,,,,
0.7025446891784668,394.405993866,,,,,,,0.002207146491855383,,,,1763496206.339179,,,,750,,16000,,7.942470550537109,,,,,,,
,418.287998422,70.57250000000005,,,0.0,,693.0,,,0.0,0.03100237440513238,1763496230.2206945,145.0,555.0,1.0271410565254033,757,0.0,16928,,,,3.0,75.0,,,,0.0
0.9812224507331848,420.154161381,,,,,,,0.002164203440770507,,,,1763496232.087381,,,,762,,17000,,8.28188705444336,,,,,,,
,445.108380526,,,,,,,,,,,1763496257.04154,,,,767,,18000,0.37870466709136963,,0.07878951728343964,,,,,8.702035903930664,
,455.115969333,110.11250000000041,,,0.0,,699.0,,,0.0,0.030083851847510768,1763496267.0486343,234.0,865.0,5.083135720202671,771,0.0,18410,,,,3.0,65.0,,,,1.0
,459.148946753,44.522499999999994,,,0.0,,701.0,,,0.0,0.029783765425331846,1763496271.08165,90.0,351.0,2.1071351997439334,773,0.0,18570,,,,3.0,75.0,,,,0.0
