global_step,robot_2/q_std,mean_episode_reward,robot_1/q_mean,episode,robot_2/loss,robot_0/q_std,_runtime,robot_3/q_std,robot_2/q_mean,robot_3/q_mean,mean_final_energy,robot_1/loss,robot_0/loss,epsilon,_timestamp,robot_1/q_std,total_agent_collisions_per_episode,episode_length,total_kills_per_episode,robot_3/loss,robot_0/q_mean,total_charges_per_episode,_step,survival_rate,std_episode_reward
167942,,114.40000000000003,,757.0,,,3848.337650694,,,,81.75,,,0.022494281437179946,1763439909.710301,,49.0,321.0,0.0,,,899.0,1425,3.0,44.60192876995361
168219,,6.5600000000000005,,760.0,,,3852.525616283,,,,102.25,,,0.022158551474944856,1763439913.898229,,12.0,29.0,0.0,,,58.0,1432,3.0,5.58916362258254
168410,,62.807500000000005,,761.0,,,3857.129959324,,,,77.5,,,0.022047758717570132,1763439918.5024288,,26.0,191.0,0.0,,,497.0,1433,3.0,8.012538221437723
170252,,8.052500000000004,,767.0,,,3900.941558499,,,,65.5,,,0.021394538952450012,1763439962.3140578,,21.0,40.0,0.0,,,72.0,1447,3.0,2.4790761888251867
171000,6.06765079498291,,,,0.24098333716392517,,3918.809854224,,48.702842712402344,,,,,,1763439980.1827033,,,,,,,,1455,,
171000,,,,,,,3918.816120537,11.873527526855469,,76.7210922241211,,,,,1763439980.1889973,,,,,0.7982572913169861,,,1456,,
171083,,62.515,,773.0,,,3920.75936652,,,,127.25,,,0.020760672449809284,1763439982.131759,,5.0,162.0,0.0,,,493.0,1457,3.0,15.677085985603341
179000,,,,,,,4093.182871053,9.759625434875488,,76.16352081298828,,,,,1763440154.5557094,,,,,1.9599695205688477,,,1514,,
180000,,,,,,3.6608364582061768,4107.797105977,,,,,,0.1987888514995575,,1763440169.1697774,,,,,,47.14612579345703,,1519,,
180000,4.43484354019165,,,,0.16696518659591675,,4107.807438843,,49.20833969116211,,,,,,1763440169.1803272,,,,,,,,1521,,
180103,,69.98250000000006,,803.0,,,4110.24622353,,,,150.0,,,0.01786215438933485,1763440171.6187592,,10.0,161.0,0.0,,,551.0,1523,3.0,17.838196902994476
180512,,162.91249999999997,,804.0,,,4120.096982346,,,,95.0,,,0.017772843617388175,1763440181.469455,,55.0,409.0,0.0,,,1279.0,1524,3.0,29.2976529563372
180985,,206.9599999999992,,805.0,,,4131.411387558,,,,98.25,,,0.017683979399301233,1763440192.7838295,,16.0,473.0,0.0,,,1626.0,1525,3.0,33.286639211550984
181000,,,49.313331604003906,,,,4131.788568376,,,,,0.5255292057991028,,,1763440193.161294,6.484012126922607,,,,,,,1527,,
181000,,,,,,,4131.801192464,11.074057579040527,,81.01338195800781,,,,,1763440193.1740794,,,,,0.7630579471588135,,,1529,,
182000,6.308849811553955,,,,1.3787713050842285,,4155.352180225,,49.692108154296875,,,,,,1763440216.7250035,,,,,,,,1534,,
