total_kills_per_episode,global_step,robot_1/loss,robot_3/q_mean,mean_final_energy,robot_3/loss,total_charges_per_episode,_runtime,_timestamp,mean_episode_reward,total_agent_collisions_per_episode,_step,robot_0/q_std,robot_2/loss,episode_length,robot_1/q_mean,survival_rate,episode,robot_0/loss,robot_2/q_mean,robot_3/q_std,robot_0/q_mean,std_episode_reward,epsilon,robot_1/q_std,robot_2/q_std
0.0,1340,,,29.75,,11.0,26.985053837,1763425037.151039,0.73,3.0,547,,,6.0,,3.0,543.0,,,,,0.9880030364325809,0.5,,
0.0,1346,,,36.75,,9.0,27.131164881,1763425037.2972155,0.55,1.0,548,,,6.0,,3.0,544.0,,,,,0.618506265125908,0.5,,
0.0,1361,,,64.5,,10.0,27.485299077,1763425037.6512609,0.9525,0.0,550,,,6.0,,3.0,546.0,,,,,0.9000381936340257,0.5,,
0.0,1373,,,63.75,,5.0,27.779138778,1763425037.9452262,0.28,0.0,553,,,2.0,,3.0,549.0,,,,,0.8294877937619095,0.5,,
0.0,1383,,,48.5,,6.0,28.019069712,1763425038.1851182,0.30250000000000005,0.0,555,,,7.0,,3.0,551.0,,,,,0.5669380477618343,0.5,,
0.0,1406,,,27.25,,17.0,28.536057936,1763425038.701999,1.495,1.0,559,,,10.0,,3.0,555.0,,,,,0.47887889909662973,0.5,,
0.0,1444,,,38.5,,6.0,29.415094286,1763425039.581262,0.16250000000000003,0.0,567,,,3.0,,3.0,563.0,,,,,0.43083494519363214,0.5,,
0.0,1448,,,48.75,,4.0,29.511005224,1763425039.6771357,0.025000000000000022,1.0,568,,,4.0,,3.0,564.0,,,,,0.3571064267133819,0.5,,
0.0,1455,,,50.0,,4.0,29.679366616,1763425039.8454714,0.017500000000000016,0.0,570,,,2.0,,3.0,566.0,,,,,0.710646712509106,0.5,,
0.0,1476,,,32.5,,26.0,30.180895541,1763425040.3469386,2.6825,2.0,573,,,11.0,,3.0,569.0,,,,,1.0051461336542067,0.5,,
0.0,1522,,,50.0,,4.0,31.281993586,1763425041.4481015,0.017500000000000016,0.0,580,,,2.0,,3.0,576.0,,,,,0.710646712509106,0.5,,
0.0,1567,,,63.5,,4.0,32.383760491,1763425042.54993,0.15250000000000002,0.0,589,,,2.0,,3.0,585.0,,,,,0.7403504237859259,0.5,,
0.0,1589,,,20.0,,13.0,32.917046639,1763425043.083086,0.9025000000000003,1.0,593,,,8.0,,3.0,589.0,,,,,0.8726217680071936,0.5,,
2.0,1604,,,20.75,,15.0,33.281481624,1763425043.4474967,1.1600000000000001,4.0,595,,,8.0,,3.0,591.0,,,,,1.0951483917716358,0.5,,
0.0,1622,,,62.25,,12.0,33.725303194,1763425043.8912148,1.1800000000000002,0.0,600,,,6.0,,3.0,596.0,,,,,1.027448295536082,0.5,,
0.0,1628,,,51.0,,9.0,33.866551197,1763425044.032488,0.6925000000000001,0.0,601,,,6.0,,3.0,597.0,,,,,1.0039764688477515,0.5,,
0.0,1685,,,30.5,,17.0,35.258195776,1763425045.4238417,1.5275,1.0,612,,,10.0,,3.0,608.0,,,,,1.1454338697628947,0.5,,
0.0,1696,,,66.25,,9.0,35.534301611,1763425045.7002769,0.8350000000000001,0.0,614,,,5.0,,3.0,610.0,,,,,0.87984373612591,0.5,,
0.0,1729,,,52.25,,8.0,36.25371506,1763425046.4197829,0.5700000000000001,2.0,620,,,5.0,,3.0,616.0,,,,,0.7121446482281532,0.5,,
0.0,1764,,,61.75,,4.0,37.090188401,1763425047.2562404,0.14500000000000002,1.0,627,,,3.0,,3.0,623.0,,,,,0.6495575417158975,0.5,,
0.0,1790,,,49.0,,12.0,37.632744113,1763425047.7987149,1.0575,1.0,630,,,7.0,,3.0,626.0,,,,,1.1146832509731184,0.5,,
0.0,1815,,,50.75,,5.0,38.23407271,1763425048.4001064,0.16000000000000003,2.0,635,,,3.0,,3.0,631.0,,,,,0.9715194285242061,0.5,,
0.0,1818,,,61.75,,6.0,38.307510694,1763425048.4736311,0.395,0.0,636,,,3.0,,3.0,632.0,,,,,0.7429165498223875,0.5,,
0.0,1832,,,40.0,,5.0,38.635209793,1763425048.8012488,0.07250000000000006,1.0,639,,,5.0,,3.0,635.0,,,,,0.3858351331851469,0.5,,
