/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run snphsh0j
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251118_112059-snphsh0j
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/snphsh0j
Using device: cuda
[Episode 155] Steps: 196 | Survival: 3/4 | Mean Reward: 43.15 | Collisions: 50 | Kills: 0
[Episode 156] Steps: 161 | Survival: 3/4 | Mean Reward: 33.37 | Collisions: 44 | Kills: 0
[Episode 157] Steps: 352 | Survival: 3/4 | Mean Reward: 90.34 | Collisions: 72 | Kills: 1
[Episode 158] Steps: 135 | Survival: 3/4 | Mean Reward: 31.36 | Collisions: 33 | Kills: 0
[Episode 159] Steps: 202 | Survival: 3/4 | Mean Reward: 49.80 | Collisions: 37 | Kills: 2
[Episode 160] Steps: 94 | Survival: 3/4 | Mean Reward: 19.67 | Collisions: 32 | Kills: 1
[Episode 161] Steps: 129 | Survival: 3/4 | Mean Reward: 28.98 | Collisions: 37 | Kills: 0
[Episode 162] Steps: 125 | Survival: 3/4 | Mean Reward: 27.15 | Collisions: 41 | Kills: 0
[Episode 163] Steps: 83 | Survival: 3/4 | Mean Reward: 17.93 | Collisions: 29 | Kills: 1
[Episode 164] Steps: 255 | Survival: 3/4 | Mean Reward: 64.25 | Collisions: 36 | Kills: 1
[Episode 165] Steps: 484 | Survival: 3/4 | Mean Reward: 123.29 | Collisions: 84 | Kills: 0
[Episode 166] Steps: 234 | Survival: 3/4 | Mean Reward: 52.73 | Collisions: 77 | Kills: 0
[Episode 167] Steps: 500 | Survival: 4/4 | Mean Reward: 131.91 | Collisions: 85 | Kills: 0
[Episode 168] Steps: 372 | Survival: 3/4 | Mean Reward: 95.24 | Collisions: 75 | Kills: 0
[Episode 169] Steps: 143 | Survival: 3/4 | Mean Reward: 33.27 | Collisions: 31 | Kills: 0
[Episode 170] Steps: 225 | Survival: 3/4 | Mean Reward: 54.83 | Collisions: 48 | Kills: 0
[Episode 171] Steps: 428 | Survival: 3/4 | Mean Reward: 104.89 | Collisions: 102 | Kills: 0
[Episode 172] Steps: 190 | Survival: 3/4 | Mean Reward: 47.67 | Collisions: 59 | Kills: 3
[Episode 173] Steps: 226 | Survival: 3/4 | Mean Reward: 57.53 | Collisions: 51 | Kills: 0
[Episode 174] Steps: 500 | Survival: 4/4 | Mean Reward: 136.62 | Collisions: 85 | Kills: 0
[Episode 175] Steps: 500 | Survival: 4/4 | Mean Reward: 143.54 | Collisions: 49 | Kills: 0
[Episode 176] Steps: 103 | Survival: 3/4 | Mean Reward: 25.77 | Collisions: 23 | Kills: 2
[Episode 177] Steps: 300 | Survival: 3/4 | Mean Reward: 79.16 | Collisions: 54 | Kills: 1
[Episode 178] Steps: 295 | Survival: 3/4 | Mean Reward: 83.24 | Collisions: 60 | Kills: 0
[Episode 179] Steps: 500 | Survival: 4/4 | Mean Reward: 140.02 | Collisions: 65 | Kills: 0
[Episode 180] Steps: 500 | Survival: 4/4 | Mean Reward: 144.75 | Collisions: 63 | Kills: 0
[Episode 181] Steps: 381 | Survival: 3/4 | Mean Reward: 102.16 | Collisions: 62 | Kills: 1
[Episode 182] Steps: 500 | Survival: 4/4 | Mean Reward: 143.45 | Collisions: 64 | Kills: 0
[Episode 183] Steps: 500 | Survival: 4/4 | Mean Reward: 142.31 | Collisions: 64 | Kills: 0
[Episode 184] Steps: 500 | Survival: 4/4 | Mean Reward: 136.78 | Collisions: 86 | Kills: 0
[Episode 185] Steps: 500 | Survival: 4/4 | Mean Reward: 143.73 | Collisions: 57 | Kills: 0
[Episode 186] Steps: 230 | Survival: 3/4 | Mean Reward: 62.91 | Collisions: 46 | Kills: 1
